85|65
21|49
21|66
49|74
49|39
49|87
17|84
17|88
17|46
17|99
97|15
97|55
97|46
97|13
97|38
38|88
38|95
38|63
38|81
38|79
38|18
14|55
14|47
14|58
14|13
14|62
14|42
14|89
18|42
18|55
18|58
18|82
18|44
18|86
18|26
18|73
66|62
66|14
66|38
66|18
66|19
66|15
66|29
66|87
66|49
46|84
46|82
46|95
46|89
46|42
46|64
46|65
46|19
46|58
46|26
42|69
42|94
42|23
42|22
42|87
42|98
42|88
42|25
42|81
42|92
42|26
86|79
86|89
86|73
86|63
86|98
86|99
86|92
86|22
86|66
86|25
86|42
86|65
99|69
99|82
99|81
99|42
99|64
99|94
99|98
99|79
99|95
99|44
99|26
99|92
99|25
84|86
84|22
84|98
84|73
84|89
84|19
84|18
84|79
84|92
84|29
84|65
84|88
84|26
84|38
63|14
63|76
63|53
63|69
63|25
63|46
63|81
63|84
63|23
63|87
63|93
63|24
63|13
63|62
63|97
87|13
87|76
87|93
87|85
87|18
87|47
87|99
87|97
87|52
87|17
87|86
87|53
87|58
87|29
87|39
87|19
39|95
39|92
39|86
39|58
39|63
39|79
39|65
39|88
39|19
39|26
39|38
39|99
39|73
39|22
39|82
39|42
39|18
44|84
44|39
44|53
44|76
44|62
44|85
44|13
44|17
44|97
44|19
44|93
44|69
44|66
44|14
44|87
44|47
44|24
44|23
95|22
95|63
95|52
95|23
95|24
95|97
95|26
95|25
95|21
95|62
95|44
95|73
95|81
95|66
95|53
95|14
95|69
95|87
95|93
19|98
19|18
19|42
19|79
19|99
19|82
19|86
19|95
19|63
19|15
19|73
19|65
19|22
19|29
19|38
19|21
19|55
19|88
19|58
19|89
52|62
52|17
52|93
52|13
52|46
52|19
52|99
52|42
52|85
52|47
52|39
52|18
52|84
52|55
52|97
52|38
52|76
52|15
52|58
52|14
52|82
92|97
92|47
92|21
92|44
92|25
92|63
92|53
92|14
92|23
92|13
92|52
92|24
92|81
92|69
92|46
92|85
92|66
92|62
92|93
92|22
92|17
92|74
13|82
13|26
13|55
13|79
13|88
13|98
13|76
13|73
13|29
13|86
13|42
13|84
13|95
13|15
13|94
13|64
13|58
13|38
13|39
13|18
13|65
13|99
13|19
81|53
81|97
81|17
81|15
81|29
81|62
81|39
81|13
81|87
81|47
81|93
81|46
81|74
81|66
81|24
81|52
81|14
81|76
81|19
81|84
81|49
81|69
81|85
81|23
47|42
47|95
47|18
47|58
47|19
47|15
47|39
